"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr"
"76","storm_79","2015-06-12 16:45:00","2015-06-15 04:45:00",516510.9,2068934430.6,60.25,8572.79502074689
"77","storm_80","2015-06-16 09:15:00","2015-06-18 21:00:00",228133.8,872291161.8,60,3802.23
"78","storm_81","2015-06-18 22:00:00","2015-06-20 14:30:00",162028.8,594037539,40.75,3976.16687116564
"79","storm_82","2015-06-21 22:30:00","2015-06-23 10:45:00",710085.6,1512046512,36.5,19454.4
"80","storm_83","2015-06-23 11:00:00","2015-06-25 03:15:00",221212.8,919167133.5,40.5,5462.04444444444
"81","storm_84","2015-06-28 05:30:00","2015-07-01 01:45:00",136823.4,444425310.9,68.5,1997.42189781022
"82","storm_85","2015-07-01 09:45:00","2015-07-03 20:15:00",298442.7,1309056726.6,54.25,5501.24792626728
"83","storm_86","2015-07-08 03:00:00","2015-07-10 09:00:00",117830.7,347090662.8,54.25,2171.99447004608
"84","storm_87","2015-07-18 01:45:00","2015-07-19 07:30:00",51841.8,132840775.8,30,1728.06
"85","storm_88","2014-07-08 18:45:00","2014-07-11 05:45:00",41437.8,60853849.2,59.25,699.372151898734
"86","storm_89","2015-07-19 07:45:00","2015-07-21 12:15:00",324202.5,1161949510.8,52.75,6146.01895734597
"87","storm_90","2015-07-21 12:30:00","2015-07-24 08:45:00",360548.1,1264306095.9,68.5,5263.47591240876
"88","storm_91","2015-07-25 19:30:00","2015-07-26 16:45:00",30580.2,101799706.5,21.5,1422.33488372093
"89","storm_92","2015-07-27 22:30:00","2015-07-30 09:45:00",115674.3,287539849.8,59.5,1944.10588235294
"90","storm_93","2015-07-30 12:15:00","2015-08-01 09:30:00",55121.4,150986609.1,45.5,1211.45934065934
"91","storm_94","2015-08-11 09:00:00","2015-08-14 09:15:00",46373.4,77092050.6,72.5,639.633103448276
"92","storm_95","2015-09-07 23:45:00","2015-09-11 16:15:00",36680.4,24710812.2,88.75,413.300281690141
"93","storm_96","2015-09-13 19:30:00","2015-09-16 12:00:00",52533.9,42985694.7,64.75,811.334362934363
"94","storm_97","2015-09-29 23:00:00","2015-10-03 11:45:00",154708.2,284713411.5,85,1820.09647058824
"95","storm_98","2015-10-09 07:45:00","2015-10-12 12:15:00",59179.5,120121453.8,76.75,771.068403908795
"96","storm_99","2014-07-15 13:15:00","2014-07-18 05:15:00",66250.8,167038919.1,64.25,1031.14085603113
"97","storm_100","2015-10-28 13:45:00","2015-11-01 06:45:00",261045.9,884325580.2,89.25,2924.88403361345
"98","storm_101","2015-11-01 13:30:00","2015-11-03 08:45:00",63360,230890198.5,43.5,1456.55172413793
"99","storm_102","2015-11-12 14:30:00","2015-11-16 03:45:00",171858.6,463710675.6,85.5,2010.04210526316
