"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"71","FC = 0.996, SFT = 0.098",2018-04-22,"2018-04-23 08:15:00",4125.88741228699,9.25,446.041882409404,0.996,"0.098","storm_71",0.0857772850787316,0.0857772850787316
"72","FC = 0.996, SFT = 0.098",2018-04-25,"2018-04-28 10:00:00",131472.807247981,67.75,1940.5580405606,0.996,"0.098","storm_72",2.73332239600792,2.73332239600792
"73","FC = 0.996, SFT = 0.098",2018-04-28,"2018-05-02 06:45:00",211873.939407454,79.25,2673.48819441582,0.996,"0.098","storm_73",4.40486360514457,4.40486360514457
"74","FC = 0.996, SFT = 0.098",2018-05-04,"2018-05-06 07:30:00",43186.1581292085,36.25,1191.34229321955,0.996,"0.098","storm_74",0.897841125347371,0.897841125347371
"75","FC = 0.996, SFT = 0.098",2018-05-08,"2018-05-08 07:00:00",1855.03646493301,5,371.007292986602,0.996,"0.098","storm_75",0.0385662466722039,0.0385662466722039
"76","FC = 0.996, SFT = 0.098",2018-05-15,"2018-05-16 11:30:00",27403.3655921593,26.5,1034.08926762865,0.996,"0.098","storm_76",0.569716540377533,0.569716540377533
"77","FC = 0.996, SFT = 0.098",2018-05-22,"2018-05-23 14:45:00",13844.8512393272,19.25,719.213051393622,0.996,"0.098","storm_77",0.287834745100358,0.287834745100358
"78","FC = 0.996, SFT = 0.098",2018-06-02,"2018-06-02 13:00:00",6057.32122651713,10.5,576.887735858774,0.996,"0.098","storm_78",0.125931834231125,0.125931834231125
"79","FC = 0.996, SFT = 0.098",2018-06-04,"2018-06-04 22:15:00",8262.65049116542,14.25,579.835122187047,0.996,"0.098","storm_79",0.171780675492005,0.171780675492005
"80","FC = 0.996, SFT = 0.098",2018-06-18,"2018-06-20 07:30:00",133415.714782203,42.25,3157.76839721191,0.996,"0.098","storm_80",2.77371548403749,2.77371548403749
"81","FC = 0.996, SFT = 0.098",2018-06-27,"2018-06-29 06:15:00",11827.3153631345,16.5,716.806991705119,0.996,"0.098","storm_81",0.245890132289698,0.245890132289698
"82","FC = 0.996, SFT = 0.098",2018-07-25,"2018-07-26 19:00:00",63205.3180398648,22.25,2840.68845122988,0.996,"0.098","storm_82",1.31403987608866,1.31403987608866
"83","FC = 0.996, SFT = 0.098",2018-08-07,"2018-08-08 05:00:00",5712.30528462053,9.5,601.295293117951,0.996,"0.098","storm_83",0.118758945626206,0.118758945626206
"84","FC = 0.996, SFT = 0.098",2018-08-15,"2018-08-16 12:15:00",7666.9030879177,15.5,494.638908897916,0.996,"0.098","storm_84",0.159395074592884,0.159395074592884
"85","FC = 0.996, SFT = 0.098",2018-08-18,"2018-08-18 14:15:00",9074.91102803928,14.25,636.835861616792,0.996,"0.098","storm_85",0.188667588940526,0.188667588940526
"86","FC = 0.996, SFT = 0.098",2018-09-06,"2018-09-06 18:15:00",4102.77882865315,8,512.847353581643,0.996,"0.098","storm_86",0.0852968571445561,0.0852968571445561
"87","FC = 0.996, SFT = 0.098",2018-09-11,"2018-09-11 18:45:00",21813.6863639554,18.25,1195.27048569618,0.996,"0.098","storm_87",0.453506993013625,0.453506993013625
"88","FC = 0.996, SFT = 0.098",2018-09-21,"2018-09-22 01:15:00",16333.0320576916,17.5,933.316117582377,0.996,"0.098","storm_88",0.339564076043484,0.339564076043484
"89","FC = 0.996, SFT = 0.098",2018-09-26,"2018-09-27 13:00:00",34300.3926248663,21.5,1595.36709883099,0.996,"0.098","storm_89",0.713105875776845,0.713105875776845
"90","FC = 0.996, SFT = 0.098",2018-09-28,"2018-09-28 14:00:00",5117.20328544472,9.5,538.652977415234,0.996,"0.098","storm_90",0.106386762691159,0.106386762691159
"91","FC = 0.996, SFT = 0.098",2018-10-02,"2018-10-04",45342.5163262497,38.25,1185.42526343137,0.996,"0.098","storm_91",0.942671857094589,0.942671857094589
"92","FC = 0.996, SFT = 0.098",2018-10-11,"2018-10-13 01:30:00",75632.2681313797,43.25,1748.72296257525,0.996,"0.098","storm_92",1.57239642684781,1.57239642684781
"93","FC = 0.996, SFT = 0.098",2018-10-24,"2018-10-24 23:30:00",4297.84273805025,10,429.784273805025,0.996,"0.098","storm_93",0.0893522398763046,0.0893522398763046
"94","FC = 0.996, SFT = 0.098",2018-10-27,"2018-10-28 21:45:00",22941.9933467079,30.5,752.196503170751,0.996,"0.098","storm_94",0.476964518642576,0.476964518642576
"95","FC = 0.996, SFT = 0.098",2018-11-01,"2018-11-05 09:45:00",254496.143494349,84.5,3011.7886804065,0.996,"0.098","storm_95",5.29098011422763,5.29098011422763
"96","FC = 0.996, SFT = 0.098",2018-11-06,"2018-11-07 12:00:00",13844.3035492174,21.5,643.921095312438,0.996,"0.098","storm_96",0.287823358611589,0.287823358611589
"97","FC = 0.996, SFT = 0.098",2018-11-09,"2018-11-12 12:00:00",62264.3817698814,63.25,984.417103081128,0.996,"0.098","storm_97",1.29447779147362,1.29447779147362
"98","FC = 0.996, SFT = 0.098",2018-11-12,"2018-11-14 19:15:00",55258.4105287559,47.5,1163.33495850012,0.996,"0.098","storm_98",1.14882350371634,1.14882350371634
"99","FC = 0.996, SFT = 0.098",2018-11-14,"2018-11-19 10:00:00",514900.972861313,110,4680.91793510284,0.996,"0.098","storm_99",10.7048019305886,10.7048019305886
"100","FC = 0.98, SFT = 0.098",2014-07-27,"2014-07-28 04:45:00",7066.04741624318,10.5,672.956896785065,0.98,"0.098","storm_1",0.146903272686968,0.146903272686968
"101","FC = 0.98, SFT = 0.098",2014-07-28,"2014-07-29 12:15:00",42914.4185721429,25.5,1682.91837537815,0.98,"0.098","storm_2",0.892191654306505,0.892191654306505
"102","FC = 0.98, SFT = 0.098",2014-07-31,"2014-07-31 22:00:00",4458.09491231583,8.25,540.375140886767,0.98,"0.098","storm_3",0.092683885910932,0.092683885910932
"103","FC = 0.98, SFT = 0.098",2014-08-13,"2014-08-14 10:45:00",25722.9827429406,18.75,1371.89241295683,0.98,"0.098","storm_4",0.534781346007081,0.534781346007081
"104","FC = 0.98, SFT = 0.098",2014-09-02,"2014-09-03 04:30:00",2505.14896567128,6,417.52482761188,0.98,"0.098","storm_5",0.0520820990784049,0.0520820990784049
"105","FC = 0.98, SFT = 0.098",2014-09-06,"2014-09-07 01:15:00",6529.53625800892,11.25,580.403222934126,0.98,"0.098","storm_6",0.1357491945532,0.1357491945532
"106","FC = 0.98, SFT = 0.098",2014-10-04,"2014-10-05 09:30:00",19291.4995534174,18.75,1028.87997618226,0.98,"0.098","storm_7",0.401070676786226,0.401070676786226
"107","FC = 0.98, SFT = 0.098",2014-10-16,"2014-10-17 04:30:00",19040.3572158457,17.25,1103.788824107,0.98,"0.098","storm_8",0.395849422366855,0.395849422366855
"108","FC = 0.98, SFT = 0.098",2014-10-18,"2014-10-19 02:45:00",7553.99346826915,13.25,570.112714586351,0.98,"0.098","storm_9",0.157047681252997,0.157047681252997
"109","FC = 0.98, SFT = 0.098",2014-10-23,"2014-10-24 14:00:00",10780.960766303,20,539.048038315151,0.98,"0.098","storm_10",0.224136398467838,0.224136398467838
"110","FC = 0.98, SFT = 0.098",2014-11-07,"2014-11-08 14:15:00",6677.12424742993,8.5,785.544029109404,0.98,"0.098","storm_11",0.13881755192162,0.13881755192162
"111","FC = 0.98, SFT = 0.098",2015-04-07,"2015-04-08 08:00:00",9813.63612570645,16,613.352257856653,0.98,"0.098","storm_12",0.204025699079136,0.204025699079136
"112","FC = 0.98, SFT = 0.098",2015-04-08,"2015-04-09 01:15:00",2319.5766049176,5.75,403.404626942192,0.98,"0.098","storm_13",0.0482240458402828,0.0482240458402828
"113","FC = 0.98, SFT = 0.098",2015-04-09,"2015-04-10 10:30:00",13621.9041952914,19,716.942326067966,0.98,"0.098","storm_14",0.283199671419779,0.283199671419779
"114","FC = 0.98, SFT = 0.098",2015-04-11,"2015-04-12 07:45:00",4036.37823856503,9,448.48647095167,0.98,"0.098","storm_15",0.0839163874961544,0.0839163874961544
"115","FC = 0.98, SFT = 0.098",2015-04-12,"2015-04-13 08:15:00",4003.88157315592,9.25,432.852061962802,0.98,"0.098","storm_16",0.0832407811466927,0.0832407811466927
"116","FC = 0.98, SFT = 0.098",2015-04-14,"2015-04-14 12:00:00",4400.65259450346,9.5,463.226588895101,0.98,"0.098","storm_17",0.0914896589293859,0.0914896589293859
"117","FC = 0.98, SFT = 0.098",2015-04-15,"2015-04-15 07:45:00",2860.33436060631,7.25,394.528877325008,0.98,"0.098","storm_18",0.059466410823416,0.059466410823416
"118","FC = 0.98, SFT = 0.098",2015-04-16,"2015-04-16 08:15:00",2504.88820575819,6,417.481367626365,0.98,"0.098","storm_19",0.0520766778743907,0.0520766778743907
