"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"57","FC = 0.996, SFT = 0.098","2015-10-16 03:00:00","2015-10-18 10:15:00",8947.78666908782,0,16.75,534.196219050019,0.996,"0.098","storm_57",0.535795608927414,0
"58","FC = 0.996, SFT = 0.098","2015-10-20 04:15:00","2015-10-21 09:45:00",16149.3176311156,0,29.75,542.83420608792,0.996,"0.098","storm_58",0.967025007851235,0
"59","FC = 0.996, SFT = 0.098","2015-10-28 16:15:00","2015-11-02 15:30:00",454518.398030075,15487063.0299893,116.5,3901.445476653,0.996,"0.098","storm_59",27.216670540723,0.927369043711934
"60","FC = 0.996, SFT = 0.098","2015-11-13 08:45:00","2015-11-17 09:00:00",228377.395020667,974421.894064796,89.25,2558.85036437722,0.996,"0.098","storm_60",13.67529311501,0.0583486164110656
"61","FC = 0.996, SFT = 0.098","2015-11-19 12:00:00","2016-04-03 20:00:00",617284.530263843,167770785.995109,101.25,6096.63733593919,0.996,"0.098","storm_61",36.963145524781,10.0461548500065
"62","FC = 0.996, SFT = 0.098","2016-04-04 00:15:00","2016-04-04 20:15:00",30745.1975791735,9952338.68577774,20.25,1518.28136193449,0.996,"0.098","storm_62",1.84102979516009,0.595948424298068
"63","FC = 0.996, SFT = 0.098","2016-04-05 04:00:00","2016-04-05 17:00:00",12327.1410867492,3951895.05016068,13.25,930.350270698049,0.996,"0.098","storm_63",0.738152160883183,0.23664042216531
"64","FC = 0.996, SFT = 0.098","2016-04-06 08:30:00","2016-04-06 15:00:00",4827.81138732694,1511296.50099827,6.75,715.231316641028,0.996,"0.098","storm_64",0.289090502235146,0.090496796466962
"65","FC = 0.996, SFT = 0.098","2016-04-07 14:00:00","2016-04-09 21:45:00",241256.361297323,55493522.2584255,56,4308.14930888077,0.996,"0.098","storm_65",14.4464887004385,3.32296540469614
"66","FC = 0.996, SFT = 0.098","2016-04-10 04:30:00","2016-04-10 15:30:00",5717.39825991266,1623650.10986738,6.5,879.599732294256,0.996,"0.098","storm_66",0.342359177240279,0.0972245574770886
"67","FC = 0.996, SFT = 0.098","2016-04-11 16:45:00","2016-04-15 08:45:00",418818.129427587,102250723.390123,88.25,4745.81449776303,0.996,"0.098","storm_67",25.0789299058436,6.12279780779182
"68","FC = 0.996, SFT = 0.098","2016-04-15 15:15:00","2016-04-16 06:15:00",8597.58057193682,2571888.14294962,15.25,563.775775208972,0.996,"0.098","storm_68",0.514825183948312,0.154005278020935
"69","FC = 0.996, SFT = 0.098","2016-04-16 18:00:00","2016-04-17 03:00:00",4294.10081413626,1252583.46813875,9.25,464.227115041757,0.996,"0.098","storm_69",0.25713178527762,0.0750049980921406
"70","FC = 0.996, SFT = 0.098","2016-04-17 17:15:00","2016-04-25 21:00:00",237103.092859021,61000627.4080901,69.75,3399.32749618668,0.996,"0.098","storm_70",14.1977899915581,3.65273218012515
"71","FC = 0.996, SFT = 0.098","2016-04-26 18:00:00","2016-04-26 23:45:00",2467.18798984168,533752.605186395,6,411.197998306946,0.996,"0.098","storm_71",0.147735807774951,0.0319612338434967
"72","FC = 0.996, SFT = 0.098","2016-05-01 21:45:00","2016-05-05 06:00:00",149659.294677744,26722230.1089416,80.5,1859.12167301545,0.996,"0.098","storm_72",8.96163441184096,1.60013353945758
"73","FC = 0.996, SFT = 0.098","2016-05-08 10:30:00","2016-05-10 10:15:00",139958.843235014,18573400.3676206,48,2915.8092340628,0.996,"0.098","storm_73",8.38076905598888,1.11217966273177
"74","FC = 0.996, SFT = 0.098","2016-05-13 15:30:00","2016-05-14 00:45:00",4626.48440602302,753691.636691589,9.5,486.998358528739,0.996,"0.098","storm_74",0.277034994372636,0.0451312357300353
"75","FC = 0.996, SFT = 0.098","2016-05-15 00:30:00","2016-05-17 08:30:00",129473.57537296,13976475.1929645,56.25,2301.75245107484,0.996,"0.098","storm_75",7.75290870496764,0.836914682213443
"76","FC = 0.996, SFT = 0.098","2016-05-17 11:00:00","2016-05-18 08:00:00",9628.58489626684,1478082.04843692,21.25,453.109877471381,0.996,"0.098","storm_76",0.576561969836337,0.0885079070920309
"77","FC = 0.996, SFT = 0.098","2016-05-19 19:45:00","2016-05-20 08:15:00",8440.44460261638,1261127.18163817,12.75,661.995655107167,0.996,"0.098","storm_77",0.505415844468046,0.0755165977028844
"78","FC = 0.996, SFT = 0.098","2016-05-22 18:00:00","2016-05-23 00:30:00",3056.14047388835,426956.013566521,6.75,452.761551687163,0.996,"0.098","storm_78",0.183002423586129,0.0255662283572767
"79","FC = 0.996, SFT = 0.098","2016-06-05 15:45:00","2016-06-06 18:30:00",88613.1245211884,12988392.5705613,27,3281.96757485883,0.996,"0.098","storm_79",5.30617512102925,0.77774805811744
"80","FC = 0.996, SFT = 0.098","2016-06-07 09:30:00","2016-06-07 17:30:00",4405.51523206338,652734.097120299,8.25,534.001846310713,0.996,"0.098","storm_80",0.263803307309184,0.0390858740790598
"81","FC = 0.996, SFT = 0.098","2016-06-07 22:15:00","2016-06-11 07:30:00",266326.745510066,11382228.8954221,81.5,3267.81282834436,0.996,"0.098","storm_81",15.94770931198,0.681570592540247
"82","FC = 0.996, SFT = 0.098","2016-06-12 23:15:00","2016-06-16 10:00:00",262221.914833939,7141399.55993601,83,3159.30017872216,0.996,"0.098","storm_82",15.7019110679005,0.427628716163833
"83","FC = 0.996, SFT = 0.098","2016-06-28 23:00:00","2016-06-29 04:15:00",2629.13014551955,894943.189780777,5.5,478.023662821737,0.996,"0.098","storm_83",0.157432942845482,0.0535894125617232
"84","FC = 0.996, SFT = 0.098","2016-07-09 01:15:00","2016-07-11 01:30:00",61420.5791696287,22182207.7403781,48.5,1266.40369421915,0.996,"0.098","storm_84",3.67787899219333,1.32827591259749
"85","FC = 0.996, SFT = 0.098","2016-07-23 02:00:00","2016-07-23 07:00:00",3795.72190470345,1182362.02760694,5.25,722.994648514944,0.996,"0.098","storm_85",0.22728873680859,0.0708001214135893
"86","FC = 0.996, SFT = 0.098","2016-08-17 00:45:00","2016-08-17 06:15:00",2443.92665407326,777712.82746563,5.75,425.030722447523,0.996,"0.098","storm_86",0.14634291341756,0.0465696303871635
"87","FC = 0.996, SFT = 0.098","2016-08-17 06:45:00","2016-08-17 15:15:00",4297.14510315194,1168150.66550475,8.75,491.102297503079,0.996,"0.098","storm_87",0.25731407803305,0.0699491416469912
"88","FC = 0.996, SFT = 0.098","2016-08-31 18:30:00","2016-09-01 16:15:00",71017.4043208819,1352027.67052973,22,3228.06383276736,0.996,"0.098","storm_88",4.25253918089113,0.0809597407502831
"89","FC = 0.996, SFT = 0.098","2016-09-10 19:45:00","2016-09-11 17:15:00",7048.07191399925,1131459.22212305,8,881.008989249906,0.996,"0.098","storm_89",0.422040234371212,0.0677520492289252
"90","FC = 0.996, SFT = 0.098","2016-09-23 10:45:00","2016-09-23 21:30:00",9041.05808377652,1406234.795554,11,821.914371252411,0.996,"0.098","storm_90",0.541380723579432,0.0842056763804788
"91","FC = 0.996, SFT = 0.098","2016-10-21 07:45:00","2016-10-21 12:15:00",1972.24192973025,0,4.75,415.208827311631,0.996,"0.098","storm_91",0.118098319145524,0
"92","FC = 0.996, SFT = 0.098","2016-10-21 19:15:00","2016-11-01 08:15:00",493191.218984675,80166.8033356326,106.25,4641.79970809106,0.996,"0.098","storm_92",29.5324083224356,0.00480040738536722
"93","FC = 0.996, SFT = 0.098","2016-11-02 06:15:00","2016-11-07 10:15:00",275496.209627544,0,112,2459.78758596021,0.996,"0.098","storm_93",16.4967790196134,0
"94","FC = 0.996, SFT = 0.098","2016-11-07 16:30:00","2016-11-07 21:45:00",2024.1425556248,0,5.5,368.025919204509,0.996,"0.098","storm_94",0.121206141055377,0
"95","FC = 0.996, SFT = 0.098","2016-11-11 00:15:00","2016-11-12 10:45:00",6943.31780822625,77314.163814373,4.25,1633.72183722971,0.996,"0.098","storm_95",0.415767533426722,0.00462959064756724
"96","FC = 0.996, SFT = 0.098","2016-11-16 14:15:00","2016-11-19 02:00:00",43488.6144022318,277655.056953719,50.25,865.445062730981,0.996,"0.098","storm_96",2.60410864684023,0.016626051314594
"97","FC = 0.996, SFT = 0.098","2016-11-26 03:00:00","2016-11-27 19:00:00",31247.7384522765,1055985.77096593,40.25,776.34132800687,0.996,"0.098","storm_97",1.87112206301057,0.0632326808961635
"98","FC = 0.996, SFT = 0.098","2016-11-28 09:45:00","2017-04-25 07:30:00",778094.840549303,179758544.585001,172.25,4517.2414545678,0.996,"0.098","storm_98",46.592505422114,10.7639847056887
"99","FC = 0.996, SFT = 0.098","2017-04-25 15:00:00","2017-05-10 08:30:00",316189.788096786,50871476.5664089,115.25,2743.51226114348,0.996,"0.098","storm_99",18.9335202453165,3.04619620158137
"100","FC = 0.996, SFT = 0.098","2017-05-10 21:45:00","2017-05-11 03:15:00",2208.34489290428,279217.647828298,5.75,384.059981374658,0.996,"0.098","storm_100",0.132236221131993,0.016719619630437
"101","FC = 0.996, SFT = 0.098","2017-05-14 04:00:00","2017-05-14 14:00:00",4482.00244205832,450721.339754326,10.25,437.268530932519,0.996,"0.098","storm_101",0.268383379763971,0.0269893017816962
"102","FC = 0.996, SFT = 0.098","2017-05-14 15:00:00","2017-05-14 21:30:00",2676.12413705928,232050.109011141,6.75,396.462835119893,0.996,"0.098","storm_102",0.160246954314927,0.0138952161084516
"103","FC = 0.996, SFT = 0.098","2017-05-14 22:30:00","2017-05-16 17:00:00",53253.1681359804,4551853.77415679,36.75,1449.06579961851,0.996,"0.098","storm_103",3.18881246323236,0.272566094260885
"104","FC = 0.996, SFT = 0.098","2017-05-26 12:00:00","2017-05-27 02:45:00",8483.99569587386,377863.821939898,15,565.599713058258,0.996,"0.098","storm_104",0.508023694363704,0.0226265761640657
"105","FC = 0.996, SFT = 0.098","2017-05-29 20:15:00","2017-05-30 00:45:00",1752.36555116183,100893.771279109,4.75,368.919063402491,0.996,"0.098","storm_105",0.104932068931846,0.00604154319036582
"106","FC = 0.996, SFT = 0.098","2017-05-30 23:30:00","2017-05-31 07:30:00",3293.03561569241,174659.071437513,8.25,399.15583220514,0.996,"0.098","storm_106",0.197187761418707,0.0104586270321864
"107","FC = 0.996, SFT = 0.098","2017-05-31 18:00:00","2017-06-01 02:00:00",3506.12727310975,189589.450467336,8.25,424.985124013303,0.996,"0.098","storm_107",0.209947740904776,0.0113526617046309
"108","FC = 0.996, SFT = 0.098","2017-06-19 17:45:00","2017-06-20 02:30:00",6032.48879054142,956060.973096431,9,670.276532282379,0.996,"0.098","storm_108",0.361226873685115,0.0572491600656545
"109","FC = 0.996, SFT = 0.098","2017-06-23 06:30:00","2017-06-26 09:30:00",179508.772253604,16809843.4557887,75.25,2385.49863459939,0.996,"0.098","storm_109",10.7490282786589,1.00657745244244
"110","FC = 0.996, SFT = 0.098","2017-06-27 17:30:00","2017-06-28 12:15:00",10890.1663606205,1349168.28994715,19,573.166650558976,0.996,"0.098","storm_110",0.652105770097039,0.0807885203561171
"111","FC = 0.996, SFT = 0.098","2017-06-29 20:30:00","2017-07-03 15:15:00",385907.32448145,24117728.9758108,88.25,4372.88752953485,0.996,"0.098","storm_111",23.1082230228413,1.4441753877731
"112","FC = 0.996, SFT = 0.098","2017-07-08 10:45:00","2017-07-08 15:45:00",2814.35494423545,513456.442151041,5.25,536.0676084258,0.996,"0.098","storm_112",0.168524248157811,0.0307458947395833
"113","FC = 0.996, SFT = 0.098","2017-07-08 17:30:00","2017-07-09 08:00:00",9048.55036004934,1472830.77510561,14.75,613.461041359277,0.996,"0.098","storm_113",0.541829362877206,0.0881934595871625
"114","FC = 0.996, SFT = 0.098","2017-07-13 13:30:00","2017-07-14 07:15:00",7701.6826858007,1091863.08604718,18,427.871260322261,0.996,"0.098","storm_114",0.461178603940162,0.0653810231165976
"115","FC = 0.996, SFT = 0.098","2017-07-14 15:45:00","2017-07-16 07:30:00",61461.3845819745,6797996.39491288,40,1536.53461454936,0.996,"0.098","storm_115",3.68032243005835,0.407065652389993
"116","FC = 0.996, SFT = 0.098","2017-07-17 04:00:00","2017-07-17 08:45:00",2612.69203850487,356431.401326503,5,522.538407700974,0.996,"0.098","storm_116",0.156448625060172,0.0213431976842217
"117","FC = 0.996, SFT = 0.098","2017-07-17 11:30:00","2017-07-18 22:00:00",66709.8403780103,6472447.36389999,34.75,1919.70763677727,0.996,"0.098","storm_117",3.99460122024014,0.387571698437125
"118","FC = 0.996, SFT = 0.098","2017-07-19 01:45:00","2017-07-19 06:00:00",1630.43556847122,196162.09212907,4.5,362.319015215826,0.996,"0.098","storm_118",0.097630872363546,0.011746233061621
"119","FC = 0.996, SFT = 0.098","2017-08-03 16:30:00","2017-08-04 03:15:00",3544.94528798123,785571.222914638,5.75,616.512223996735,0.996,"0.098","storm_119",0.212272172933008,0.0470401929889005
"120","FC = 0.996, SFT = 0.098","2017-08-05 12:15:00","2017-08-07 01:30:00",163757.724743118,20805074.9959242,37.5,4366.87265981649,0.996,"0.098","storm_120",9.80585178102505,1.24581287400744
"121","FC = 0.996, SFT = 0.098","2017-08-08 01:15:00","2017-08-08 20:00:00",18196.5013258368,2212511.84963067,19,957.710596096676,0.996,"0.098","storm_121",1.08961085783454,0.132485739498842
"122","FC = 0.996, SFT = 0.098","2017-08-13 09:00:00","2017-08-13 18:45:00",4865.98375739124,787802.224501056,10,486.598375739124,0.996,"0.098","storm_122",0.291376272897679,0.0471737858982668
"123","FC = 0.996, SFT = 0.098","2017-08-23 03:15:00","2017-08-23 08:15:00",2032.84189643698,406943.66098394,5.25,387.207980273711,0.996,"0.098","storm_123",0.121727059666885,0.0243678838912539
"124","FC = 0.996, SFT = 0.098","2017-09-03 20:15:00","2017-09-04 14:45:00",13095.8095042539,2610566.7838703,18.75,698.44317356021,0.996,"0.098","storm_124",0.784180209835566,0.156321364303611
"125","FC = 0.996, SFT = 0.098","2017-09-05 14:00:00","2017-09-10 11:00:00",112976.087228366,13754235.2773468,77.25,1462.47362107918,0.996,"0.098","storm_125",6.76503516337523,0.823606902835141
"126","FC = 0.996, SFT = 0.098","2017-10-09 15:30:00","2017-10-10 21:15:00",61969.1322327265,1989295.52257894,30,2065.63774109088,0.996,"0.098","storm_126",3.71072648100158,0.119119492369997
"127","FC = 0.996, SFT = 0.098","2017-10-24 20:15:00","2017-10-25 23:45:00",61799.9601104854,193607.381307961,27.75,2227.02558956704,0.996,"0.098","storm_127",3.70059641380152,0.0115932563657462
"128","FC = 0.996, SFT = 0.098","2017-10-26 05:00:00","2017-10-29 02:15:00",211188.761165881,9526901.63115664,36,5866.35447683002,0.996,"0.098","storm_128",12.6460336027474,0.570473151566266
"129","FC = 0.996, SFT = 0.098","2017-10-29 12:15:00","2017-11-01 07:15:00",256712.846374314,12416357.2568894,67.25,3817.29139590058,0.996,"0.098","storm_129",15.3720267290009,0.743494446520324
"130","FC = 0.996, SFT = 0.098","2017-11-01 23:45:00","2017-11-05 09:45:00",428865.06249003,29870772.8063632,82.25,5214.1648934958,0.996,"0.098","storm_130",25.6805426640737,1.78866903032115
"131","FC = 0.996, SFT = 0.098","2017-11-05 23:30:00","2017-11-09 09:45:00",263791.73554289,17608215.6302492,63.25,4170.62032478878,0.996,"0.098","storm_131",15.7959123079575,1.054384169476
"132","FC = 0.996, SFT = 0.098","2017-11-10 02:15:00","2017-11-10 08:30:00",2981.01041283794,367421.472981364,6.5,458.616986590453,0.996,"0.098","storm_132",0.178503617535206,0.0220012858072673
"133","FC = 0.996, SFT = 0.098","2017-11-17 00:15:00","2017-11-17 10:30:00",5096.14091349174,653988.521103131,10.5,485.34675366588,0.996,"0.098","storm_133",0.30515813853244,0.0391609892876126
"134","FC = 0.996, SFT = 0.098","2017-11-22 18:45:00","2017-11-23 09:45:00",8159.14699660817,1179132.61354397,15.25,535.02603256447,0.996,"0.098","storm_134",0.488571676443603,0.0706067433259861
