"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-19","12.30",,"0.00","0.0","7.9","14","38","-6","  190","  200","31.1","38.9","    1",,,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-20","10.96",,"0.00","0.0","5.1","21","38","0","  340","  340","25.9","33.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-21","4.47",,"0.00","0.0","3.9","-1","6","-12","  340",,"8.9",,"    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-22","8.28",,"0.00","0.0","3.9","-2","20","-14","  200","  190","23.9","34.0","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-23","10.07",,"0.02","1.0","3.9","20","26","9","  190","  200","21.0","27.1","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-24","3.80",,"0.02","0.3","5.1","8","17","-7","  210","  190","8.9","13.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-25","5.37",,"0.02","0.5","5.9","20","29","12","  280","  320","19.9","29.1","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-26","6.49",,"0.00","0.0","5.9","7","14","-9","  360","   10","15.0","18.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-27","11.63",,"0.00","0.0","5.9","2","25","-12","  190","  200","25.1","36.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-28","10.51",,"0.00","0.9","5.9","20","26","-2","  200","  200","21.9","32.0","    1",,,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-29","12.75",,"0.00","0.0","7.1","0","7","-4","  360","  360","23.9","32.0",,,,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-30","2.01",,"0.00","0.0","7.1","6","20","-8","  330","  330","14.1","17.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-31","2.91",,"0.00","0.0","7.1","11","25","2","  200","  210","13.0","16.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-01","8.28",,"0.00","0.0","5.9","17","33","2","  190","  200","23.0","31.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-02","18.34",,"0.00","0.0","5.9","34","42","29","  190","  180","30.0","46.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-03","12.75",,"0.36","6.5","1.2","36","42","15","  190","  200","25.9","34.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-04","11.41",,"0.65","8.5","13.0","13","15","10","  340","  340","18.1","23.9","    1","    1",,,,,,"    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-05","6.93",,"0.01","0.2","15.0","11","16","-5","  340","  350","19.9","25.1","    1",,,,,,,"    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-06","9.17",,"0.00","0.0","15.0","6","23","-7","  190","  200","23.9","33.1",,,,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-07","11.18",,"0.00","0.0","14.2","27","36","23","  200","  200","23.9","34.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-08","4.25",,"0.00","0.0","9.8","29","33","23","  300","  290","12.1","18.1","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-09","10.07",,"0.00","0.0","9.1","29","40","13","  180","  180","21.9","33.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-10","13.65",,"0.00","0.0","7.1","39","42","36","  200","  200","25.1","34.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-11","12.75",,"0.00","0.0","5.1","38","48","31","  200","  200","28.0","38.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-12","10.96",,"0.00","0.0","5.1","43","46","12","  340","  230","23.9","34.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-13","10.29",,"0.00","0.0","3.9","11","14","5","  330","  320","18.1","21.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-14","9.62",,"0.00","0.1","3.9","7","13","3","  310","  320","17.0","23.0",,,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-15","6.26",,"0.00","0.0","3.9","11","21","2","  330","  340","16.1","19.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-16","18.34",,"0.00","0.0","3.1","20","42","5","  200","  200","38.0","53.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-17","19.69",,"0.22","0.0","2.0","45","51","34","  180","  190","31.1","42.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-18","13.42",,"0.45","0.8","1.2","29","34","11","  350","  330","31.1","42.9","    1",,,"    1",,"    1","    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-19","16.11",,"0.00","0.3","1.2","19","30","11","  320","  330","28.0","38.9","    1",,,,,,,"    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-20","15.88",,"0.00","0.0","1.2","15","33","6","  190","  190","33.1","48.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-21","11.63",,"0.00","0.0","1.2","35","41","24","  190","  190","30.0","40.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-22","7.38",,"0.19","0.0","1.2","32","52","21","  190","  200","23.9","32.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-23","14.76",,"0.00","0.0","0.0","46","57","14","  310","  290","36.0","49.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-24","7.16",,"0.00","0.0","0.0","15","23","9","   10","   10","16.1","21.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-25","8.95",,"0.48","8.0","0.0","15","21","7","  340","  340","23.0","30.0","    1","    1",,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-26","8.50",,"0.00","0.0","7.9","12","25","2","  190","  190","15.0","21.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-27","13.65",,"0.01","1.2","5.9","26","35","14","  330","  330","35.1","40.9","    1",,,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-02-28","6.93",,"0.00","0.0","5.9","13","18","3","  330","  340","21.9","27.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-03-01","8.72",,"0.01","0.3","5.1","16","33","4","  180","  190","21.9","31.1","    1",,,,,,,
