"timestamp","q_cms","X","Timestamp","sC"
2022-01-02 13:32:00,1.942130504,151,"2022-01-02 13:32:00",523.55
2022-01-02 13:47:00,1.948193757,152,"2022-01-02 13:47:00",522.83
2022-01-02 14:02:00,1.936077924,153,"2022-01-02 14:02:00",522.27
2022-01-02 14:17:00,1.936077924,154,"2022-01-02 14:17:00",521.9
2022-01-02 14:32:00,1.930036016,155,"2022-01-02 14:32:00",521.7
2022-01-02 14:47:00,1.917984191,156,"2022-01-02 14:47:00",521.57
2022-01-02 15:02:00,1.930036016,157,"2022-01-02 15:02:00",521.51
2022-01-02 15:17:00,1.917984191,158,"2022-01-02 15:17:00",521.43
2022-01-02 15:32:00,1.924004773,159,"2022-01-02 15:32:00",521.22
2022-01-02 15:47:00,1.924004773,160,"2022-01-02 15:47:00",520.94
2022-01-02 16:02:00,1.924004773,161,"2022-01-02 16:02:00",520.98
2022-01-02 16:17:00,1.911974267,162,"2022-01-02 16:17:00",521.34
2022-01-02 16:32:00,1.911974267,163,"2022-01-02 16:32:00",521.89
2022-01-02 16:47:00,1.905974996,164,"2022-01-02 16:47:00",522.35
2022-01-02 17:02:00,1.888041056,165,"2022-01-02 17:02:00",522.87
2022-01-02 17:17:00,1.882084353,166,"2022-01-02 17:17:00",523.16
2022-01-02 17:32:00,1.888041056,167,"2022-01-02 17:32:00",523.42
2022-01-02 17:47:00,1.882084353,168,"2022-01-02 17:47:00",523.52
2022-01-02 18:02:00,1.876138282,169,"2022-01-02 18:02:00",523.56
2022-01-02 18:17:00,1.882084353,170,"2022-01-02 18:17:00",523.8
2022-01-02 18:32:00,1.864278014,171,"2022-01-02 18:32:00",524.12
2022-01-02 18:47:00,1.882084353,172,"2022-01-02 18:47:00",524.58
2022-01-02 19:02:00,1.858363809,173,"2022-01-02 19:02:00",525.08
2022-01-02 19:17:00,1.870202836,174,"2022-01-02 19:17:00",525.64
2022-01-02 19:32:00,1.882084353,175,"2022-01-02 19:32:00",526.1
2022-01-02 19:47:00,1.876138282,176,"2022-01-02 19:47:00",526.76
2022-01-02 20:02:00,1.888041056,177,"2022-01-02 20:02:00",527.18
2022-01-02 20:17:00,1.876138282,178,"2022-01-02 20:17:00",527.81
2022-01-02 20:32:00,1.888041056,179,"2022-01-02 20:32:00",528.33
2022-01-02 20:47:00,1.894008395,180,"2022-01-02 20:47:00",528.97
2022-01-02 21:02:00,1.894008395,181,"2022-01-02 21:02:00",529.4
2022-01-02 21:17:00,1.894008395,182,"2022-01-02 21:17:00",529.91
2022-01-02 21:32:00,1.894008395,183,"2022-01-02 21:32:00",530.4
2022-01-02 21:47:00,1.917984191,184,"2022-01-02 21:47:00",530.8
2022-01-02 22:02:00,1.924004773,185,"2022-01-02 22:02:00",531.3
2022-01-02 22:17:00,1.936077924,186,"2022-01-02 22:17:00",531.65
2022-01-02 22:32:00,1.948193757,187,"2022-01-02 22:32:00",531.97
2022-01-02 22:47:00,1.948193757,188,"2022-01-02 22:47:00",532.14
2022-01-02 23:02:00,1.95426769,189,"2022-01-02 23:02:00",532.16
2022-01-02 23:17:00,1.972553604,190,"2022-01-02 23:17:00",532
2022-01-02 23:32:00,1.966447609,191,"2022-01-02 23:32:00",532.42
2022-01-02 23:47:00,1.978670296,192,"2022-01-02 23:47:00",532.72
2022-01-03 00:02:00,1.984797688,193,"2022-01-03 00:02:00",533.25
2022-01-03 00:17:00,1.99708459,194,"2022-01-03 00:17:00",533.66
2022-01-03 00:32:00,1.99708459,195,"2022-01-03 00:32:00",534.12
2022-01-03 00:47:00,2.015595304,196,"2022-01-03 00:47:00",534.41
2022-01-03 01:02:00,2.027989403,197,"2022-01-03 01:02:00",534.93
2022-01-03 01:17:00,2.021786988,198,"2022-01-03 01:17:00",535.38
2022-01-03 01:32:00,2.003244109,199,"2022-01-03 01:32:00",535.53
2022-01-03 01:47:00,2.027989403,200,"2022-01-03 01:47:00",535.94
2022-01-03 02:02:00,2.009414345,201,"2022-01-03 02:02:00",536.22
2022-01-03 02:17:00,2.021786988,202,"2022-01-03 02:17:00",536.59
2022-01-03 02:32:00,2.015595304,203,"2022-01-03 02:32:00",536.77
2022-01-03 02:47:00,2.027989403,204,"2022-01-03 02:47:00",537.06
2022-01-03 03:02:00,2.040426442,205,"2022-01-03 03:02:00",537.23
2022-01-03 03:17:00,2.027989403,206,"2022-01-03 03:17:00",537.55
2022-01-03 03:32:00,2.059162584,207,"2022-01-03 03:32:00",537.83
2022-01-03 03:47:00,2.059162584,208,"2022-01-03 03:47:00",538.14
2022-01-03 04:02:00,2.059162584,209,"2022-01-03 04:02:00",538.35
2022-01-03 04:17:00,2.07799553,210,"2022-01-03 04:17:00",538.71
2022-01-03 04:32:00,2.096925395,211,"2022-01-03 04:32:00",539.12
2022-01-03 04:47:00,2.090604664,212,"2022-01-03 04:47:00",539.62
2022-01-03 05:02:00,2.103256907,213,"2022-01-03 05:02:00",539.89
2022-01-03 05:17:00,2.109599205,214,"2022-01-03 05:17:00",540.41
2022-01-03 05:32:00,2.122316174,215,"2022-01-03 05:32:00",540.84
2022-01-03 05:47:00,2.115952292,216,"2022-01-03 05:47:00",541.36
2022-01-03 06:02:00,2.115952292,217,"2022-01-03 06:02:00",541.81
2022-01-03 06:17:00,2.147879724,218,"2022-01-03 06:17:00",542.26
2022-01-03 06:32:00,2.141472625,219,"2022-01-03 06:32:00",542.61
2022-01-03 06:47:00,2.167165931,220,"2022-01-03 06:47:00",542.94
2022-01-03 07:02:00,2.186549585,221,"2022-01-03 07:02:00",543.15
2022-01-03 07:17:00,2.193032478,222,"2022-01-03 07:17:00",543.38
2022-01-03 07:32:00,2.186549585,223,"2022-01-03 07:32:00",543.53
2022-01-03 07:47:00,2.219072535,224,"2022-01-03 07:47:00",543.6
2022-01-03 08:02:00,2.21254624,225,"2022-01-03 08:02:00",543.76
2022-01-03 08:17:00,2.225609691,226,"2022-01-03 08:17:00",543.89
2022-01-03 08:32:00,2.238716602,227,"2022-01-03 08:32:00",543.99
2022-01-03 08:47:00,2.265060939,228,"2022-01-03 08:47:00",544.23
2022-01-03 09:02:00,2.245286366,229,"2022-01-03 09:02:00",544.43
2022-01-03 09:17:00,2.27829843,230,"2022-01-03 09:17:00",544.75
2022-01-03 09:32:00,2.298236413,231,"2022-01-03 09:32:00",545.15
2022-01-03 09:47:00,2.298236413,232,"2022-01-03 09:47:00",545.41
2022-01-03 10:02:00,2.31827259,233,"2022-01-03 10:02:00",545.83
2022-01-03 10:17:00,2.35863997,234,"2022-01-03 10:17:00",546.23
2022-01-03 10:32:00,2.372183298,235,"2022-01-03 10:32:00",546.65
2022-01-03 10:47:00,2.392580466,236,"2022-01-03 10:47:00",546.99
2022-01-03 11:02:00,2.413076342,237,"2022-01-03 11:02:00",547.37
2022-01-03 11:17:00,2.440557912,238,"2022-01-03 11:17:00",547.66
2022-01-03 11:32:00,2.433671036,239,"2022-01-03 11:32:00",548.08
2022-01-03 11:47:00,2.454364657,240,"2022-01-03 11:47:00",548.57
2022-01-03 12:02:00,2.475157314,241,"2022-01-03 12:02:00",548.88
2022-01-03 12:17:00,2.496049115,242,"2022-01-03 12:17:00",549.47
2022-01-03 12:32:00,2.503035099,243,"2022-01-03 12:32:00",549.87
2022-01-03 12:47:00,2.510032116,244,"2022-01-03 12:47:00",550.35
2022-01-03 13:02:00,2.524059261,245,"2022-01-03 13:02:00",550.79
2022-01-03 13:17:00,2.545182819,246,"2022-01-03 13:17:00",551.24
2022-01-03 13:32:00,2.609150946,247,"2022-01-03 13:32:00",551.75
2022-01-03 13:47:00,2.637869438,248,"2022-01-03 13:47:00",552.31
2022-01-03 14:02:00,2.645076819,249,"2022-01-03 14:02:00",552.78
2022-01-03 14:17:00,2.496049115,250,"2022-01-03 14:17:00",553.36
2022-01-03 14:32:00,2.517040168,251,"2022-01-03 14:32:00",553.91
2022-01-03 14:47:00,2.510032116,252,"2022-01-03 14:47:00",554.47
2022-01-03 15:02:00,2.531089398,253,"2022-01-03 15:02:00",554.96
2022-01-03 15:17:00,2.524059261,254,"2022-01-03 15:17:00",555.49
2022-01-03 15:32:00,2.538130582,255,"2022-01-03 15:32:00",555.95
2022-01-03 15:47:00,2.531089398,256,"2022-01-03 15:47:00",556.55
2022-01-03 16:02:00,2.510032116,257,"2022-01-03 16:02:00",556.95
2022-01-03 16:17:00,2.524059261,258,"2022-01-03 16:17:00",557.59
2022-01-03 16:32:00,2.517040168,259,"2022-01-03 16:32:00",558.15
2022-01-03 16:47:00,2.517040168,260,"2022-01-03 16:47:00",558.65
2022-01-03 17:02:00,2.517040168,261,"2022-01-03 17:02:00",559.24
2022-01-03 17:17:00,2.545182819,262,"2022-01-03 17:17:00",559.97
2022-01-03 17:32:00,2.552246112,263,"2022-01-03 17:32:00",560.66
2022-01-03 17:47:00,2.545182819,264,"2022-01-03 17:47:00",561.37
2022-01-03 18:02:00,2.580609922,265,"2022-01-03 18:02:00",562.18
2022-01-03 18:17:00,2.552246112,266,"2022-01-03 18:17:00",562.93
2022-01-03 18:32:00,2.573502366,267,"2022-01-03 18:32:00",563.7
2022-01-03 18:47:00,2.573502366,268,"2022-01-03 18:47:00",564.59
2022-01-03 19:02:00,2.573502366,269,"2022-01-03 19:02:00",565.29
2022-01-03 19:17:00,2.573502366,270,"2022-01-03 19:17:00",566.1
2022-01-03 19:32:00,2.580609922,271,"2022-01-03 19:32:00",566.92
2022-01-03 19:47:00,2.609150946,272,"2022-01-03 19:47:00",567.55
2022-01-03 20:02:00,2.616313922,273,"2022-01-03 20:02:00",568.21
2022-01-03 20:17:00,2.616313922,274,"2022-01-03 20:17:00",568.95
2022-01-03 20:32:00,2.623487993,275,"2022-01-03 20:32:00",569.49
2022-01-03 20:47:00,2.623487993,276,"2022-01-03 20:47:00",570
2022-01-03 21:02:00,2.637869438,277,"2022-01-03 21:02:00",570.52
2022-01-03 21:17:00,2.637869438,278,"2022-01-03 21:17:00",571.08
2022-01-03 21:32:00,2.645076819,279,"2022-01-03 21:32:00",571.61
2022-01-03 21:47:00,2.645076819,280,"2022-01-03 21:47:00",571.98
2022-01-03 22:02:00,2.674017499,281,"2022-01-03 22:02:00",572.39
2022-01-03 22:17:00,2.637869438,282,"2022-01-03 22:17:00",572.89
2022-01-03 22:32:00,2.674017499,283,"2022-01-03 22:32:00",573.47
2022-01-03 22:47:00,2.681280477,284,"2022-01-03 22:47:00",574.07
2022-01-03 23:02:00,2.674017499,285,"2022-01-03 23:02:00",574.55
2022-01-03 23:17:00,2.674017499,286,"2022-01-03 23:17:00",575.2
2022-01-03 23:32:00,2.666765648,287,"2022-01-03 23:32:00",576.21
2022-01-03 23:47:00,2.681280477,288,"2022-01-03 23:47:00",576.8
2022-01-04 00:02:00,2.674017499,289,"2022-01-04 00:02:00",577.51
2022-01-04 00:17:00,2.688554586,290,"2022-01-04 00:17:00",578.39
2022-01-04 00:32:00,2.674017499,291,"2022-01-04 00:32:00",579.46
2022-01-04 00:47:00,2.688554586,292,"2022-01-04 00:47:00",580.45
2022-01-04 01:02:00,2.681280477,293,"2022-01-04 01:02:00",581.35
2022-01-04 01:17:00,2.69583983,294,"2022-01-04 01:17:00",582.54
2022-01-04 01:32:00,2.703136212,295,"2022-01-04 01:32:00",583.51
2022-01-04 01:47:00,2.69583983,296,"2022-01-04 01:47:00",584.63
2022-01-04 02:02:00,2.725092233,297,"2022-01-04 02:02:00",585.8
2022-01-04 02:17:00,2.710443738,298,"2022-01-04 02:17:00",586.97
2022-01-04 02:32:00,2.703136212,299,"2022-01-04 02:32:00",588.02
2022-01-04 02:47:00,2.71776241,300,"2022-01-04 02:47:00",589.16
2022-01-04 03:02:00,2.71776241,301,"2022-01-04 03:02:00",590.32
2022-01-04 03:17:00,2.739785346,302,"2022-01-04 03:17:00",591.38
2022-01-04 03:32:00,2.73243321,303,"2022-01-04 03:32:00",592.45
2022-01-04 03:47:00,2.747148644,304,"2022-01-04 03:47:00",593.61
2022-01-04 04:02:00,2.739785346,305,"2022-01-04 04:02:00",594.53
2022-01-04 04:17:00,2.761908742,306,"2022-01-04 04:17:00",595.62
2022-01-04 04:32:00,2.76930555,307,"2022-01-04 04:32:00",596.65
2022-01-04 04:47:00,2.791563056,308,"2022-01-04 04:47:00",597.64
2022-01-04 05:02:00,2.821396401,309,"2022-01-04 05:02:00",598.49
2022-01-04 05:17:00,2.82888274,310,"2022-01-04 05:17:00",599.39
2022-01-04 05:32:00,2.843889048,311,"2022-01-04 05:32:00",600.29
2022-01-04 05:47:00,2.858940222,312,"2022-01-04 05:47:00",601.03
2022-01-04 06:02:00,2.874036292,313,"2022-01-04 06:02:00",601.68
2022-01-04 06:17:00,2.866482643,314,"2022-01-04 06:17:00",602.42
2022-01-04 06:32:00,2.904363244,315,"2022-01-04 06:32:00",602.85
2022-01-04 06:47:00,2.889177289,316,"2022-01-04 06:47:00",603.3
2022-01-04 07:02:00,2.896764645,317,"2022-01-04 07:02:00",603.68
2022-01-04 07:17:00,2.904363244,318,"2022-01-04 07:17:00",604.09
2022-01-04 07:32:00,2.896764645,319,"2022-01-04 07:32:00",604.59
2022-01-04 07:47:00,2.904363244,320,"2022-01-04 07:47:00",605.12
2022-01-04 08:02:00,2.904363244,321,"2022-01-04 08:02:00",605.64
2022-01-04 08:17:00,2.896764645,322,"2022-01-04 08:17:00",606.25
2022-01-04 08:32:00,2.896764645,323,"2022-01-04 08:32:00",606.93
2022-01-04 08:47:00,2.896764645,324,"2022-01-04 08:47:00",607.58
2022-01-04 09:02:00,2.896764645,325,"2022-01-04 09:02:00",608.14
2022-01-04 09:17:00,2.896764645,326,"2022-01-04 09:17:00",608.57
2022-01-04 09:32:00,2.919594188,327,"2022-01-04 09:32:00",608.94
2022-01-04 09:47:00,2.911973091,328,"2022-01-04 09:47:00",609.32
2022-01-04 10:02:00,2.904363244,329,"2022-01-04 10:02:00",609.54
2022-01-04 10:17:00,2.889177289,330,"2022-01-04 10:17:00",609.77
2022-01-04 10:32:00,2.896764645,331,"2022-01-04 10:32:00",609.89
2022-01-04 10:47:00,2.851409025,332,"2022-01-04 10:47:00",609.88
2022-01-04 11:02:00,2.858940222,333,"2022-01-04 11:02:00",610.01
2022-01-04 11:17:00,2.82888274,334,"2022-01-04 11:17:00",609.95
2022-01-04 11:32:00,2.806457334,335,"2022-01-04 11:32:00",610.01
2022-01-04 11:47:00,2.791563056,336,"2022-01-04 11:47:00",610.1
2022-01-04 12:02:00,2.754523108,337,"2022-01-04 12:02:00",610.19
2022-01-04 12:17:00,2.703136212,338,"2022-01-04 12:17:00",610.17
2022-01-04 12:32:00,2.659524921,339,"2022-01-04 12:32:00",610.11
2022-01-04 12:47:00,2.616313922,340,"2022-01-04 12:47:00",610.09
2022-01-04 13:02:00,2.573502366,341,"2022-01-04 13:02:00",610.06
2022-01-04 13:17:00,2.510032116,342,"2022-01-04 13:17:00",610.18
2022-01-04 13:32:00,2.468215417,343,"2022-01-04 13:32:00",610.22
2022-01-04 13:47:00,2.413076342,344,"2022-01-04 13:47:00",610.44
2022-01-04 14:02:00,2.392580466,345,"2022-01-04 14:02:00",610.65
2022-01-04 14:17:00,2.35863997,346,"2022-01-04 14:17:00",610.97
2022-01-04 14:32:00,2.31827259,347,"2022-01-04 14:32:00",611.38
2022-01-04 14:47:00,2.284933521,348,"2022-01-04 14:47:00",611.77
2022-01-04 15:02:00,2.251867007,349,"2022-01-04 15:02:00",612.22
2022-01-04 15:17:00,2.219072535,350,"2022-01-04 15:17:00",612.67
2022-01-04 15:32:00,2.173616316,351,"2022-01-04 15:32:00",613.1
2022-01-04 15:47:00,2.109599205,352,"2022-01-04 15:47:00",613.37
2022-01-04 16:02:00,2.065429471,353,"2022-01-04 16:02:00",613.81
2022-01-04 16:17:00,2.059162584,354,"2022-01-04 16:17:00",614.13
2022-01-04 16:32:00,2.046661074,355,"2022-01-04 16:32:00",614.46
