"","Timestamp","Temperature.SoilTemp_15cm@WW_pit5","Temperature.SoilTemp_30cm@WW_pit5","Temperature.SoilTemp_45cm@WW_pit5","Temperature.SoilTemp_60cm@WW_pit5"
"181",2021-10-04 19:00:00,11.9,0,11.7,11.5
"182",2021-10-04 19:30:00,11.9,0,11.6,11.5
"183",2021-10-04 20:00:00,11.9,0,11.6,11.5
"184",2021-10-04 20:30:00,11.9,0,11.6,11.5
"185",2021-10-04 21:00:00,12,0,11.6,11.5
"186",2021-10-04 21:30:00,11.9,0,11.6,11.5
"187",2021-10-04 22:00:00,11.9,0,11.7,11.5
"188",2021-10-04 22:30:00,11.9,0,11.7,11.5
"189",2021-10-04 23:00:00,11.9,0,11.7,11.5
"190",2021-10-04 23:30:00,11.9,0,11.7,11.5
"191",2021-10-05 00:00:00,11.9,0,11.7,11.5
"192",2021-10-05 00:30:00,11.9,0,11.7,11.5
"193",2021-10-05 01:00:00,11.9,0,11.7,11.5
"194",2021-10-05 01:30:00,11.9,0,11.7,11.5
"195",2021-10-05 02:00:00,11.9,0,11.7,11.5
"196",2021-10-05 02:30:00,11.9,0,11.7,11.5
"197",2021-10-05 03:00:00,11.8,0,11.7,11.5
"198",2021-10-05 03:30:00,11.8,0,11.7,11.5
"199",2021-10-05 04:00:00,11.8,0,11.7,11.5
"200",2021-10-05 04:30:00,11.8,0,11.7,11.5
"201",2021-10-05 05:00:00,11.8,0,11.7,11.5
"202",2021-10-05 05:30:00,11.8,0,11.7,11.5
"203",2021-10-05 06:00:00,11.8,0,11.7,11.5
"204",2021-10-05 06:30:00,11.8,0,11.7,11.5
"205",2021-10-05 07:00:00,11.8,0,11.7,11.5
"206",2021-10-05 07:30:00,11.8,0,11.7,11.5
"207",2021-10-05 08:00:00,11.8,0,11.7,11.5
"208",2021-10-05 08:30:00,11.8,0,11.7,11.5
"209",2021-10-05 09:00:00,11.7,0,11.7,11.5
"210",2021-10-05 09:30:00,11.7,0,11.7,11.5
"211",2021-10-05 10:00:00,11.7,0,11.7,11.5
"212",2021-10-05 10:30:00,11.7,0,11.7,11.5
"213",2021-10-05 11:00:00,11.7,0,11.7,11.5
"214",2021-10-05 11:30:00,11.7,0,11.7,11.5
"215",2021-10-05 12:00:00,11.7,0,11.7,11.5
"216",2021-10-05 12:30:00,11.7,0,11.7,11.5
"217",2021-10-05 13:00:00,11.8,0,11.7,11.5
"218",2021-10-05 13:30:00,11.8,0,11.7,11.5
"219",2021-10-05 14:00:00,11.8,0,11.7,11.5
"220",2021-10-05 14:30:00,11.9,0,11.7,11.5
"221",2021-10-05 15:00:00,11.9,0,11.7,11.5
"222",2021-10-05 15:30:00,11.9,0,11.7,11.5
"223",2021-10-05 16:00:00,12,0,11.7,11.5
"224",2021-10-05 16:30:00,12.1,0,11.7,11.5
"225",2021-10-05 17:00:00,12.1,0,11.7,11.5
"226",2021-10-05 17:30:00,12.1,0,11.7,11.5
"227",2021-10-05 18:00:00,12.2,0,11.7,11.5
"228",2021-10-05 18:30:00,12.2,0,11.7,11.5
